SR.NO,Custom Table Name,Evaluation of Raw Material,COMMENTS,Responsible
1,General,Is 16 Section MSDS of the raw material available?,Not applicable,NONE
2,General,Which information in any one of the 16 sections is not available in full?,Not applicable,NONE
3,General,Has the identified missing / more information required from the supplier asked thru Sourcing?,Not applicable,NONE
4,General,Is CAS number of the raw material based on the pure substance available?,Not applicable,NONE
5,General,"For mixtures, are ingredients of mixture available?",Not applicable,NONE
6,General,Is % age composition substances in the mixture available?,Not applicable,NONE
7,General,Is the total %age of all substances in the mixture equal to 100? If not what is the % of substances not available?,Not applicable,NONE
8,Physical,Is the material corrosive?,CQS,CQS
9,Physical,Does the plant have acid and alkali proof storage facilities to store a corrosive raw material?,Plant to fill data,Plant
10,Physical,Is the material highly toxic?,CQS,CQS
11,Physical,Does the plant have facilities to handle fine powder of highly toxic raw material?,Plant to fill data,Plant
12,Physical,Does the plant have facilities to crush the stone like solid raw material?,Plant to fill data,Plant
13,Physical,Does the plant have facilities to heat/melt the raw material if required for charging the same in a batch?,Plant to fill data,Plant
14,,Does the plant have facilities to prepare paste of raw material if required for charging the same in a batch?,Plant to fill data,Plant
15,Flammability and Explosivity,Is Flash point of the raw material given and less than or equal to 65 degree C?,CQS,CQS
16,Flammability and Explosivity,Is the raw material is to be catgorised as ClassC / Class B / Class A substance as per Petroleum Act / Rules?,CQS,CQS
17,Flammability and Explosivity,Does all the plants have the capacity and license to store the raw material?,Plant to fill data,Plant
18,Flammability and Explosivity,"If no, has the plant applied for CCoE license and by when expected to receive the license?",Plant to fill data,Plant
19,Flammability and Explosivity,Is Flash point of the raw material given is less than 21 degree C?,CQS,CQS
20,Flammability and Explosivity,"If yes, does plant have infrastructure to comply State Factories Rule for handling 'Flammable liquids'?",Plant to fill data,Plant
21,Flammability and Explosivity,Does the plant require to have additonal storage capacities to store the raw material?,Plant to fill data,Plant
22,Flammability and Explosivity,Is the raw material explosive as per MSDS? ,CQS,CQS
23,Flammability and Explosivity,"If yes, does the plant has facilities to store such raw material?",Plant to fill data,Plant
24,Flammability and Explosivity,Is Autoignition temperature of the material is less than or equal to that of MTO?,CQS,CQS
25,Flammability and Explosivity,Does the plant have facilities to handle the raw material ?,Plant to fill data,Plant
26,Flammability and Explosivity,Does the material has Dust explosion hazard?,CQS,CQS
27,Flammability and Explosivity,"If yes, does plant has infrastructure to handle material having dust explosion hazard?",Plant to fill data,Plant
28,Flammability and Explosivity,Does the raw material likely to generate electrostatic charge at the time of transfer or charging?,,CQS
29,Flammability and Explosivity,"If yes, does plant has infrastructure to handle material having electrostatic hazard?",Plant to fill data,Plant
30,Toxicity,Is LD 50 (oral) value available and higher than the threshold limit of 200 mg/Kg BW?,,CQS
31,Toxicity,Is LD 50 (Dermal) value available and higher than 1000 mg/Kg BW?,,CQS
32,Toxicity,Is LC50 Inhalation value available and higher than 10 mg/L?,,CQS
33,Toxicity,"If no, in any of the above three cases (where avaialble) then does the plant have facilities and /or procedure to minmise the exposure of workman?",Plant to fill data,Plant
34,Toxicity,Is the RM a suspect Carcinogenic?,,CQS
35,Toxicity,"If yes, plant has adequate facilities and /or procedure to minimse the exposure of workman?",Plant to fill data,Plant
36,Toxicity,Is the RM a suspect Mutagenic?,CQS,CQS
37,Toxicity,"If yes, plant has adequate facilities and /or procedure to minimse the exposure of workman?",Plant to fill data,Plant
38,Toxicity,Is the RM a suspect endocrine disruptor?,CQS,CQS
39,Toxicity,"If yes, plant has adequate facilities and /or procedure to minimse the exposure of workman?",Plant to fill data,Plant
40,Toxicity,Is the RM a reproductive toxicant?,CQS,CQS
41,Toxicity,"If yes, plant has adequate facilities and /or procedure to minimse the exposure of workman? ",Plant to fill data,Plant
42,Toxicity,Is the RM contains Silica > 1%,CQS,CQS
